phylum	class	order	family	genus
Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Hyalangium
Firmicutes	Clostridia	Halanaerobiales	Halanaerobiaceae	Halocella
Firmicutes	Clostridia	Clostridiales	Clostridiaceae 4	Caminicella
Firmicutes	Clostridia	Clostridiales	Defluviitaleaceae	Defluviitalea
Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Robiginitomaculum
Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichales_incertae_sedis	Fangia
Acidobacteria	Acidobacteria_Gp1			Telmatobacter
Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Propionispira
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Shuttleworthia
Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	Alkalitalea
Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Gibbsiella
Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Flavihumibacter
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Acetivibrio
Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfosalsimonas
Elusimicrobia	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	Elusimicrobium
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes
Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Plantibacter
Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium XI
Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Arcticibacter
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halomarina
Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Olleya
Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Hallella
Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Phaseolibacter
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnobacterium
Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Wautersiella
Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Anaerosporobacter
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Pseudoflavonifractor
Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Lutaonella
Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Litoribacter
Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Cyclobacteriaceae	Cecembia
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Johnsonella
Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Eggerthia
