sample	Desulfohalobiaceae	Micrococcaceae	Incertae Sedis XIV	Moraxellaceae	Incertae Sedis XIII	Actinomycetaceae	Neisseriaceae	Sphingomonadaceae	Rubrobacteraceae	Enterobacteriaceae	Aeromonadaceae	Ruminococcaceae	Prevotellaceae	Bacillaceae	Vibrionaceae	Bacteroidaceae	Pasteurellaceae	Erysipelotrichaceae	Brachyspiraceae	Burkholderiaceae	Helicobacteraceae	Microbacteriaceae	Pseudomonadaceae	Porphyromonadaceae	Chromatiaceae	Rhizobiaceae	Coriobacteriaceae	Enterococcaceae	Staphylococcaceae	Flavobacteriaceae	Chloroplast	Veillonellaceae	Rikenellaceae	Succinivibrionaceae	Lactobacillaceae	Lachnospiraceae	Burkholderiales_incertae_sedis	Bradyrhizobiaceae	Streptococcaceae	Alcaligenaceae	Comamonadaceae	Caulobacteraceae	Family I	Pseudoalteromonadaceae	Eubacteriaceae	Peptostreptococcaceae	Fusobacteriaceae	Rhodocyclaceae	Desulfovibrionaceae	Propionibacteriaceae	Oceanospirillaceae	Xanthomonadaceae	Clostridiaceae
D5-686-525_2_1_380control	1	2	173	0	6	3	3	301	0	6	15	636	0	1	8	480	99	501	0	2	0	0	19	102	1	0	86	2	0	8	1	29	15	0	5	1780	0	0	145	0	5	0	0	27	0	21	0	1	0	16	33	0	0
D5-655-442_2_1_1500case	0	1	297	0	5	0	4	6	0	3	0	201	15	0	0	1089	0	28	0	0	0	0	0	49	0	0	57	0	0	0	0	47	23	0	0	1752	0	0	6	40	0	0	0	1	2	2	0	0	0	0	1	0	0
D5-607-356_2_1_1355case	0	0	77	0	3	3	0	29	0	92	0	667	278	0	0	1724	0	412	0	0	2	0	0	32	0	0	108	0	2	69	2	324	0	0	0	2957	1	0	37	6	6	0	0	5	20	1	0	0	0	0	2	0	7
D5-635-911_1_1_332case	2	9	368	24	4	11	9	348	268	213	10	627	644	148	6	208	33	134	0	50	3	136	279	116	11	94	57	0	5	881	580	121	18	185	40	3245	61	8	182	23	453	3	0	11	9	8	737	58	0	36	8	110	32
D5-623-944_2_1_965control	0	0	292	0	0	1	0	16	0	8	1	112	0	0	2	761	2	32	0	3	0	0	1	11	1	0	60	0	0	191	1	13	11	0	0	1258	0	0	1080	51	3	0	0	3	1	0	47	0	0	0	3	0	0
D5-649-142_2_1_943control	0	0	308	2	5	0	1	370	0	23	16	533	5	4	35	231	0	209	0	8	0	19	7	69	6	0	54	0	0	50	20	22	4	0	1	917	0	7	35	32	4	7	0	16	478	0	0	0	0	8	22	2	17
D5-621-913_2_1_899control	0	1	51	0	0	0	6	72	0	106	3	90	2	0	14	1123	38	106	0	15	0	0	4	256	5	0	0	0	0	1	3	2	2	1	0	1183	0	2	24	8	0	0	0	28	39	13	0	0	0	0	22	1	0
D5-602-805_2_1_53control	0	21	42	0	0	1	2	85	0	34	4	252	39	11	7	602	14	10	0	6	1	71	87	34	6	19	23	0	3	55	144	37	16	0	15	522	0	0	32	43	59	0	0	17	4	49	0	0	0	5	19	51	2
D5-602-100_2_1_180control	0	0	280	0	9	6	1	43	0	35	8	515	144	0	2	126	1	116	0	2	0	0	0	54	1	0	98	0	0	0	3	31	10	0	2	1472	0	1	47	117	0	0	0	11	0	37	0	0	0	1	14	0	1
D5-624-431_2_1_387control	1	0	2	2	0	1	5	280	3	45	27	111	0	5	33	1664	28	317	0	38	0	0	12	89	21	3	53	0	0	6	1	26	18	0	0	1329	1	12	90	6	2	0	0	81	1	229	0	2	0	16	36	0	0
