nc101_code	D2_01	D2_02
NC101_00003	329	29
NC101_00004	30	2
NC101_00005	145	53
NC101_00006	510	80
NC101_00007	5	3
NC101_00008	14	4
NC101_00009	625	65
NC101_00010	245	44
NC101_00011	247	43
NC101_00012	180	44
NC101_00013	37	38
NC101_00014	54	17
NC101_00015	94	29
NC101_00016	32	7
NC101_00017	77	20
NC101_00018	0	1
NC101_00019	3	0
NC101_00020	8	2
NC101_00021	11	2
NC101_00022	18	0
NC101_00023	0	0
NC101_00024	0	1
NC101_00025	0	2
NC101_00026	7	4
NC101_00027	4	3
NC101_00028	3	0
NC101_00029	4	2
NC101_00030	13	5
NC101_00031	200	74
NC101_00032	21	4
NC101_00033	304	181
NC101_00034	30	5
NC101_00035	31	21
NC101_00036	16	3
NC101_00037	15	7
NC101_00038	37	4
NC101_00039	16	4
NC101_00040	20	8
NC101_00041	134	31
NC101_00042	13	12
NC101_00043	45	22
NC101_00044	11	3
NC101_00045	3	0
NC101_00046	58	22
NC101_00047	37	8
NC101_00048	18	7
NC101_00049	38	17
NC101_00050	8	0
NC101_00051	55	27
NC101_00052	49	13
NC101_00053	399	134
NC101_00054	30	10
NC101_00055	1	3
NC101_00056	79	23
NC101_00057	131	39
NC101_00058	117	23
NC101_00059	25	10
NC101_00060	87	46
NC101_00061	48	18
NC101_00062	166	38
NC101_00063	41	19
NC101_00064	22	6
NC101_00065	21	10
NC101_00066	20	2
NC101_00067	54	11
NC101_00068	25	12
NC101_00069	49	22
NC101_00070	21	10
NC101_00071	14	7
NC101_00072	428	185
NC101_00073	2	5
NC101_00074	26	10
NC101_00075	82	37
NC101_00076	97	28
NC101_00077	364	98
NC101_00078	278	72
NC101_00079	2544	504
NC101_00080	16	4
NC101_00081	163	29
NC101_00082	25	7
NC101_00083	17	3
NC101_00084	923	233
NC101_00085	20	4
NC101_00086	6	6
NC101_00087	20	1
NC101_00088	599	141
NC101_00089	388	59
NC101_00090	817	121
NC101_00091	49	13
NC101_00092	31	14
NC101_00093	182	76
NC101_00094	9	2
NC101_00095	12	9
NC101_00096	17	6
NC101_00097	114	41
NC101_00098	69	23
NC101_00099	30	8
NC101_00100	9	10
NC101_00101	292	65
NC101_00102	92	71
NC101_00103	32	7
NC101_00104	9	6
NC101_00105	3	0
NC101_00106	2	0
NC101_00107	280	98
NC101_00108	75	8
NC101_00109	51	10
NC101_00110	365	60
NC101_00111	45	9
NC101_00112	12	4
NC101_00113	12	8
NC101_00114	25	14
NC101_00115	13	8
NC101_00116	9	1
NC101_00117	206	113
NC101_00118	980	465
NC101_00119	18	8
NC101_00120	48	16
NC101_00121	156	23
NC101_00122	1830	325
NC101_00123	356	135
NC101_00124	13	7
NC101_00125	2	0
NC101_00126	6	0
NC101_00127	0	4
NC101_00128	9	2
NC101_00129	11	6
NC101_00130	86	38
NC101_00131	12	3
NC101_00132	12	2
NC101_00133	54	20
NC101_00134	66	18
NC101_00135	74	30
NC101_00136	138	37
NC101_00137	55	22
NC101_00138	111	36
NC101_00139	14	4
NC101_00140	14	3
NC101_00141	9	14
NC101_00142	106	25
NC101_00143	10	6
NC101_00144	17	4
NC101_00145	23	10
NC101_00146	5	4
NC101_00147	11	3
NC101_00148	26	6
NC101_00149	30	8
NC101_00150	30	12
NC101_00151	11	2
NC101_00152	5	8
NC101_00153	4	0
NC101_00154	4	2
NC101_00155	2	2
NC101_00156	1095	323
NC101_00157	17	8
NC101_00158	31	26
NC101_00159	29	3
NC101_00160	626	253
NC101_00161	36	9
NC101_00162	30	12
NC101_00163	8	2
NC101_00164	4	7
NC101_00165	14	3
NC101_00166	25	14
NC101_00167	25	13
NC101_00168	10	5
NC101_00169	163	36
NC101_00170	12	4
NC101_00171	37	8
NC101_00172	106	33
NC101_00173	36	10
NC101_00174	179	40
NC101_00175	31	6
NC101_00176	4	1
NC101_00177	4	0
NC101_00178	965	285
NC101_00179	2337	917
NC101_00180	1392	595
NC101_00181	1629	616
NC101_00182	42	6
NC101_00183	718	250
NC101_00184	786	316
NC101_00185	21	3
NC101_00186	29	14
NC101_00187	9	0
NC101_00188	443	71
NC101_00189	12	3
NC101_00190	3	9
NC101_00191	4	1
NC101_00192	15	2
NC101_00193	58	14
NC101_00194	1422	262
NC101_00195	13	9
NC101_00196	0	0
NC101_00197	5	2
NC101_00198	2	6
NC101_00199	4	2
NC101_00200	4	1
NC101_00201	21	4
NC101_00202	7	0
NC101_00203	0	1
NC101_00204	30	2
NC101_00205	2	4
NC101_00206	0	2
NC101_00207	3	2
NC101_00208	13	2
NC101_00209	70	12
NC101_00210	170	43
NC101_00211	140	55
NC101_00212	12	6
NC101_00213	58	21
NC101_00214	150	56
NC101_00215	63	29
NC101_00216	98	28
NC101_00217	58	21
NC101_00218	14	2
NC101_00219	249	81
NC101_00220	8732	2686
NC101_00221	327	164
NC101_00222	54	33
NC101_00223	131	32
NC101_00224	153	41
NC101_00225	24	10
NC101_00226	27	7
NC101_00227	24	7
NC101_00228	33	9
NC101_00229	24	22
NC101_00230	47	7
NC101_00233	176	48
NC101_00234	70	33
NC101_00235	74	16
NC101_00236	294	145
NC101_00237	29	2
NC101_00238	32	12
NC101_00239	85	27
NC101_00240	46	27
NC101_00241	11	9
NC101_00242	2896	598
NC101_00243	110	30
NC101_00244	176	65
NC101_00245	13	4
NC101_00246	22	7
NC101_00247	31	16
NC101_00248	24	18
NC101_00249	27	12
NC101_00250	62	42
NC101_00251	66	18
NC101_00252	19	12
NC101_00253	8	4
NC101_00254	11	6
NC101_00255	345	126
NC101_00256	375	123
NC101_00257	47	16
NC101_00258	16	15
NC101_00259	86	20
NC101_00260	132	59
NC101_00261	43	24
NC101_00262	204	45
NC101_00263	145	62
NC101_00264	6	2
NC101_00265	19	7
NC101_00266	3	4
NC101_00267	4	0
NC101_00268	52	12
NC101_00269	24	9
NC101_00270	4	3
NC101_00271	5	2
NC101_00272	46	35
NC101_00273	1	7
NC101_00274	32	12
NC101_00275	37	18
NC101_00276	23	5
NC101_00277	17	9
NC101_00278	24	11
NC101_00279	56	43
NC101_00280	51	43
NC101_00281	59	14
NC101_00282	22	10
NC101_00283	0	0
NC101_00284	2	0
NC101_00285	215	120
NC101_00286	80	14
NC101_00287	511	144
NC101_00288	266	82
NC101_00289	38	13
NC101_00290	25	12
NC101_00291	13	6
NC101_00292	20	5
NC101_00293	8	4
NC101_00294	18	2
NC101_00295	95	36
NC101_00296	462	55
NC101_00297	568	68
NC101_00298	53	17
NC101_00299	40	4
NC101_00300	19	4
NC101_00301	192	104
NC101_00302	22	11
NC101_00303	36	16
NC101_00304	5	4
NC101_00305	205	30
NC101_00306	378	69
NC101_00307	36	10
NC101_00308	22	10
NC101_00309	101	53
NC101_00310	75	9
NC101_00311	264	63
NC101_00312	269	78
NC101_00313	21	11
NC101_00314	11	11
NC101_00315	87	17
NC101_00316	90	44
NC101_00317	17	5
NC101_00318	34	14
NC101_00319	30	2
NC101_00320	3	0
NC101_00321	23	2
NC101_00322	50	7
NC101_00323	584	124
NC101_00324	42	18
NC101_00325	294	57
NC101_00326	112	22
NC101_00327	14	11
NC101_00328	15	41
NC101_00329	7	10
NC101_00330	22	15
NC101_00331	0	0
NC101_00332	8	6
NC101_00333	10	0
NC101_00334	1	2
NC101_00335	10	0
NC101_00336	33	2
NC101_00337	42	16
NC101_00338	85	36
NC101_00339	55	26
NC101_00340	27	12
NC101_00341	32	16
NC101_00342	16	8
NC101_00343	40	6
NC101_00344	19	6
NC101_00345	4	3
NC101_00346	60	28
NC101_00347	322	167
NC101_00348	33	9
NC101_00349	21	4
NC101_00350	20	8
NC101_00351	26	11
NC101_00352	31	4
NC101_00353	20	0
NC101_00354	77	28
NC101_00355	3	0
NC101_00356	0	0
NC101_00357	5	0
NC101_00358	84	10
NC101_00359	2	0
NC101_00360	0	0
NC101_00361	0	1
NC101_00362	173	46
NC101_00363	88	24
NC101_00364	2	0
NC101_00365	1	0
NC101_00366	0	0
NC101_00367	2	1
NC101_00368	1	2
NC101_00369	9	2
NC101_00370	11	4
NC101_00371	5	1
NC101_00372	5	1
NC101_00373	0	1
NC101_00374	2	3
NC101_00375	4	6
NC101_00376	0	0
NC101_00377	0	0
NC101_00378	0	0
NC101_00379	13	8
NC101_00380	0	0
NC101_00381	0	2
NC101_00382	365	71
NC101_00383	4	4
NC101_00384	11	4
NC101_00385	20	5
NC101_00386	26	7
NC101_00387	103	17
NC101_00388	38	11
NC101_00389	23	18
NC101_00390	39	20
NC101_00391	15	5
NC101_00392	371	156
NC101_00393	238	61
NC101_00394	31	20
NC101_00395	0	0
NC101_00396	18	6
NC101_00397	26	11
NC101_00398	57	19
NC101_00399	15	2
NC101_00400	18	1
NC101_00401	10	2
NC101_00402	12	2
NC101_00403	10	9
NC101_00404	29	17
NC101_00405	11	9
NC101_00406	2	1
NC101_00407	8	3
NC101_00408	30	6
NC101_00409	123	24
NC101_00410	11	5
NC101_00411	1	0
NC101_00412	0	0
NC101_00413	2	6
NC101_00414	0	0
NC101_00415	0	0
NC101_00416	4	2
NC101_00417	7	0
NC101_00418	13	15
NC101_00419	146	83
NC101_00420	108	22
NC101_00421	8	2
NC101_00422	0	2
NC101_00423	1	2
NC101_00424	17	2
NC101_00425	34	13
NC101_00426	13	5
NC101_00427	4	8
NC101_00428	19	4
NC101_00429	10	3
NC101_00430	226	48
NC101_00431	5	4
NC101_00432	52	7
NC101_00433	5	2
NC101_00434	14	3
NC101_00435	12	4
NC101_00436	40	21
NC101_00437	12	2
NC101_00438	19	5
NC101_00439	37	25
NC101_00440	20	2
NC101_00441	66	14
NC101_00442	111	55
NC101_00443	17	5
NC101_00444	32	22
NC101_00445	96	30
NC101_00446	63	18
NC101_00447	3663	1222
NC101_00448	97	16
NC101_00449	36	25
NC101_00450	33	23
NC101_00451	54	19
NC101_00452	128	27
NC101_00453	51	12
NC101_00454	139	46
NC101_00455	220	80
NC101_00456	33	10
NC101_00457	91	37
NC101_00458	32	12
NC101_00459	97	24
NC101_00460	339	121
NC101_00461	0	0
NC101_00462	1	0
NC101_00463	35	13
NC101_00464	216	89
NC101_00465	67	27
NC101_00466	79	21
NC101_00467	563	177
NC101_00468	17	2
NC101_00469	3890	1604
NC101_00470	23	3
NC101_00471	24	9
NC101_00472	8	3
NC101_00473	111	36
NC101_00474	59	19
NC101_00475	26	2
NC101_00476	0	1
NC101_00477	2	0
NC101_00478	6	8
NC101_00479	31	15
NC101_00480	56	29
NC101_00481	3584	1209
NC101_00482	371	107
NC101_00483	63	16
NC101_00484	60	23
NC101_00485	18	5
NC101_00486	25	6
NC101_00487	36	7
NC101_00488	20	8
NC101_00489	28	13
NC101_00490	640	165
NC101_00491	183	72
NC101_00492	34	14
NC101_00493	144	26
NC101_00494	10	3
NC101_00495	0	0
NC101_00496	6	0
NC101_00497	4	2
NC101_00498	2	2
NC101_00499	11	0
NC101_00500	2	0
NC101_00501	2	2
NC101_00502	1	0
NC101_00503	0	0
NC101_00504	2	0
NC101_00505	0	2
NC101_00506	187	54
NC101_00507	11	4
NC101_00508	40	14
NC101_00509	47	32
NC101_00510	566	523
NC101_00511	59	22
NC101_00512	7	4
NC101_00513	41	7
NC101_00514	56	11
NC101_00515	21	15
NC101_00516	35	12
NC101_00517	34	11
NC101_00518	46	15
NC101_00519	10	2
NC101_00520	46	6
NC101_00521	39	5
NC101_00522	72	4
NC101_00523	102	33
NC101_00524	9	2
NC101_00525	1	1
NC101_00526	85	39
NC101_00527	122	94
NC101_00528	14	10
NC101_00529	22	18
NC101_00530	234	58
NC101_00531	8	8
NC101_00532	18	3
NC101_00533	63	30
NC101_00534	41	13
NC101_00535	46	20
NC101_00536	132	33
NC101_00537	1054	204
NC101_00538	28	8
NC101_00539	13	4
NC101_00540	69	43
NC101_00541	172	65
NC101_00542	288	70
NC101_00543	259	51
NC101_00544	32	10
NC101_00545	32	6
NC101_00546	25	22
NC101_00547	61	5
NC101_00548	78	23
NC101_00549	63	19
NC101_00550	29	0
NC101_00551	32	22
NC101_00552	23	6
NC101_00553	11	5
NC101_00554	24	5
NC101_00555	6	1
NC101_00556	1	1
NC101_00557	8	9
NC101_00558	692	239
NC101_00559	56	37
NC101_00560	99	43
NC101_00561	21	11
NC101_00562	19	22
NC101_00563	144	37
NC101_00564	25	22
NC101_00565	54	11
NC101_00566	64	8
NC101_00567	44	15
NC101_00568	46	20
NC101_00569	10	13
NC101_00570	48	17
NC101_00571	352	131
NC101_00572	8	0
NC101_00573	0	2
NC101_00574	38	16
NC101_00575	1416	195
NC101_00576	0	0
NC101_00577	20	13
NC101_00578	2270	687
NC101_00579	101	45
NC101_00580	75	34
NC101_00581	127	48
NC101_00582	36	10
NC101_00583	68	29
NC101_00585	2	4
NC101_00586	35	7
NC101_00587	27	7
NC101_00588	14	3
NC101_00589	59	8
NC101_00590	88	10
NC101_00591	42	13
NC101_00592	2	3
NC101_00593	45	22
NC101_00594	4	6
NC101_00595	22	6
NC101_00596	438	87
NC101_00597	48	21
NC101_00598	31	12
NC101_00599	37	15
NC101_00600	123	36
NC101_00601	167	34
NC101_00602	77	15
NC101_00603	18	3
NC101_00604	11	4
NC101_00605	23	4
NC101_00606	76	20
NC101_00607	28	13
NC101_00608	126	56
NC101_00609	165	82
NC101_00610	48	26
NC101_00611	2558	1585
NC101_00612	18	9
NC101_00613	119	37
NC101_00614	34	20
NC101_00615	308	41
NC101_00616	115	13
NC101_00617	407	58
NC101_00618	56	11
NC101_00619	0	2
NC101_00620	2	0
NC101_00621	0	2
NC101_00622	0	0
NC101_00623	14	4
NC101_00624	45	6
NC101_00625	56	11
NC101_00626	4	1
NC101_00627	41	10
NC101_00628	17	9
NC101_00629	66	26
NC101_00630	68	26
NC101_00631	304	96
NC101_00632	1169	581
NC101_00633	79	16
NC101_00634	41	10
NC101_00635	25	13
NC101_00636	14	12
NC101_00637	6	2
NC101_00638	19	11
NC101_00639	29	10
NC101_00640	23	9
NC101_00641	23	2
NC101_00642	8	2
NC101_00643	80	24
NC101_00644	65	14
NC101_00645	35	2
NC101_00646	2	0
NC101_00647	1	0
NC101_00648	54	20
NC101_00649	2	4
NC101_00650	3	1
NC101_00651	2	0
NC101_00652	8	0
NC101_00653	0	4
NC101_00654	12	6
NC101_00655	37	25
NC101_00656	9	6
NC101_00657	51	26
NC101_00658	2	0
NC101_00659	1	2
NC101_00660	6	1
NC101_00661	10	9
NC101_00662	16	3
NC101_00663	11	2
NC101_00664	12	4
NC101_00665	13	5
NC101_00666	2	0
NC101_00667	0	0
NC101_00668	2	8
NC101_00669	0	1
NC101_00670	28	5
NC101_00671	0	0
NC101_00672	0	3
NC101_00673	1	2
NC101_00674	2	0
NC101_00675	9	8
NC101_00676	0	0
NC101_00677	3	2
NC101_00678	10	0
NC101_00679	1	0
NC101_00680	0	4
NC101_00681	2	0
NC101_00682	0	0
NC101_00683	10	2
NC101_00684	1	1
NC101_00685	5	10
NC101_00686	3	3
NC101_00687	0	0
NC101_00688	6	7
NC101_00689	3	3
NC101_00690	22	8
NC101_00691	76	24
NC101_00692	0	4
NC101_00693	3	0
NC101_00694	0	0
NC101_00695	1404	344
NC101_00696	6	2
NC101_00697	0	0
NC101_00698	1841	213
NC101_00699	11	8
NC101_00700	0	0
NC101_00701	0	2
NC101_00702	0	0
NC101_00703	0	0
NC101_00704	2	0
NC101_00705	41	14
NC101_00706	16	4
NC101_00707	25	1
NC101_00708	0	2
NC101_00709	0	1
NC101_00710	2	2
NC101_00711	0	7
NC101_00712	9	3
NC101_00713	111	36
NC101_00714	42	20
NC101_00715	227	59
NC101_00716	4	0
NC101_00717	3	2
NC101_00718	19	10
NC101_00719	15	2
NC101_00720	1	0
NC101_00721	18	12
NC101_00722	11	2
NC101_00723	4	0
NC101_00724	3	0
NC101_00725	1	2
NC101_00726	19	4
NC101_00727	367	107
NC101_00728	4	2
NC101_00729	8	9
NC101_00730	27	22
NC101_00731	21	7
NC101_00732	79	20
NC101_00733	193	48
NC101_00734	53	29
NC101_00735	248	53
NC101_00736	425	93
NC101_00737	19	2
NC101_00738	14	12
NC101_00739	6	4
NC101_00740	49	24
NC101_00741	0	2
NC101_00742	17	12
NC101_00743	43	20
NC101_00744	51	29
NC101_00745	70	27
NC101_00746	14	2
NC101_00747	17	7
NC101_00748	9	6
NC101_00749	95	21
NC101_00750	21	21
NC101_00751	88	70
NC101_00752	65	22
NC101_00753	140	57
NC101_00754	41	14
NC101_00755	204	38
NC101_00756	120	34
NC101_00757	34	12
NC101_00758	58	68
NC101_00759	28	13
NC101_00760	138	44
NC101_00761	24	11
NC101_00762	158	39
NC101_00763	164	64
NC101_00764	31	10
NC101_00765	36	10
NC101_00766	13	11
NC101_00767	15	12
NC101_00768	408	195
NC101_00769	1490	335
NC101_00770	634	133
NC101_00771	104	48
NC101_00772	88	38
NC101_00773	61	12
NC101_00774	106	38
NC101_00775	218	96
NC101_00776	51	26
NC101_00777	24	3
NC101_00778	965	381
NC101_00779	38	27
NC101_00780	22	0
NC101_00781	4	0
NC101_00782	3	0
NC101_00783	8	0
NC101_00784	6	0
NC101_00785	1	0
NC101_00786	5	3
NC101_00787	6	0
NC101_00788	0	0
NC101_00789	0	0
NC101_00790	8	2
NC101_00791	0	3
NC101_00792	8	4
NC101_00793	23	8
NC101_00794	97	10
NC101_00795	62	5
NC101_00796	107	22
NC101_00797	69	20
NC101_00798	143	37
NC101_00799	93	38
NC101_00800	26	7
NC101_00801	33	17
NC101_00802	1341	330
NC101_00803	40	18
NC101_00804	4	0
NC101_00805	1	2
NC101_00806	14	4
NC101_00807	46	18
NC101_00808	46	18
NC101_00809	74	24
NC101_00810	202	57
NC101_00811	40	20
NC101_00812	89	41
NC101_00813	189	45
NC101_00814	13	13
NC101_00815	15	14
NC101_00816	19	7
NC101_00817	4	4
NC101_00818	3	0
NC101_00819	28	4
NC101_00820	2	0
NC101_00821	0	6
NC101_00822	1	2
NC101_00823	0	3
NC101_00824	11	7
NC101_00825	199	84
NC101_00826	19	4
NC101_00827	51	11
NC101_00828	20	5
NC101_00830	11	3
NC101_00831	4	0
NC101_00832	2	1
NC101_00833	0	0
NC101_00834	3	0
NC101_00835	0	1
NC101_00836	0	0
NC101_00837	0	0
NC101_00838	138	14
NC101_00839	0	0
NC101_00840	4	2
NC101_00841	0	1
NC101_00842	1	0
NC101_00843	53	25
NC101_00844	0	1
NC101_00845	5	0
NC101_00846	6	4
NC101_00847	44	28
NC101_00848	0	2
NC101_00849	2	6
NC101_00850	14	6
NC101_00852	2	2
NC101_00853	21	14
NC101_00854	45	2
NC101_00855	23	12
NC101_00856	15	4
NC101_00857	40	21
NC101_00858	61	43
NC101_00859	39	13
NC101_00860	2	4
NC101_00861	18	11
NC101_00862	3	1
NC101_00863	6	2
NC101_00864	19	4
NC101_00865	0	0
NC101_00866	0	0
NC101_00867	6	6
NC101_00868	0	0
NC101_00869	5	2
NC101_00870	46	16
NC101_00871	8	9
NC101_00872	3	0
NC101_00873	0	1
NC101_00874	1	3
NC101_00875	2	5
NC101_00876	2	1
NC101_00877	9	6
NC101_00878	101	61
NC101_00879	2	1
NC101_00880	0	1
NC101_00881	0	0
NC101_00882	3	2
NC101_00883	235	71
NC101_00884	23	4
NC101_00885	21	9
NC101_00886	8	1
NC101_00887	4	2
NC101_00888	0	1
NC101_00889	35	16
NC101_00890	28	27
NC101_00891	31	25
NC101_00892	20	6
NC101_00893	27	1
NC101_00894	2	5
NC101_00895	104	46
NC101_00896	2	0
NC101_00897	280	96
NC101_00898	84	17
NC101_00899	4	1
NC101_00900	1	0
NC101_00901	0	0
NC101_00902	5	2
NC101_00903	2	0
NC101_00904	1	0
NC101_00905	32	7
NC101_00906	90	33
NC101_00907	4549	2066
NC101_00908	1000	136
NC101_00909	274	70
NC101_00910	55	11
NC101_00911	5	4
NC101_00912	15	2
NC101_00913	14	1
NC101_00914	20	10
NC101_00915	70	14
NC101_00916	13	3
NC101_00917	19	3
NC101_00918	36	7
NC101_00919	105	82
NC101_00920	20	6
NC101_00921	1	0
NC101_00922	25	4
NC101_00923	29	12
NC101_00924	44	14
NC101_00925	26	11
NC101_00926	29	13
NC101_00927	58	20
NC101_00928	90	51
NC101_00929	77	43
NC101_00931	170	42
NC101_00932	61	17
NC101_00933	28	7
NC101_00934	102	54
NC101_00935	1156	468
NC101_00936	77	35
NC101_00937	7	3
NC101_00938	257	59
NC101_00939	263	41
NC101_00940	4	1
NC101_00941	26	10
NC101_00942	32	2
NC101_00943	147	46
NC101_00944	4821	1042
NC101_00945	82	22
NC101_00946	71	53
NC101_00947	49	21
NC101_00948	2794	863
NC101_00949	51	17
NC101_00950	54	16
NC101_00951	58	19
NC101_00952	97	27
NC101_00953	29	20
NC101_00954	22	9
NC101_00955	50	11
NC101_00956	29	7
NC101_00957	1	0
NC101_00958	4	2
NC101_00959	2	2
NC101_00960	0	0
NC101_00961	7	4
NC101_00962	423	82
NC101_00963	87	42
NC101_00964	259	75
NC101_00965	213	34
NC101_00966	697	151
NC101_00967	161	53
NC101_00968	117	64
NC101_00969	794	302
NC101_00970	253	74
NC101_00971	26	7
